time_ms,cwnd,ssthresh
0.00,1.00,16.00
0.32,2.00,16.00
0.42,3.00,16.00
0.47,4.00,16.00
0.48,5.00,16.00
0.49,6.00,16.00
0.50,7.00,16.00
0.51,8.00,16.00
0.52,9.00,16.00
0.53,10.00,16.00
0.54,11.00,16.00
0.55,12.00,16.00
0.56,13.00,16.00
0.56,14.00,16.00
0.57,15.00,16.00
0.58,16.00,16.00
0.61,16.06,16.00
0.63,16.12,16.00
0.64,16.19,16.00
0.65,16.25,16.00
0.65,16.31,16.00
0.66,16.37,16.00
0.67,16.43,16.00
0.68,16.49,16.00
0.68,16.55,16.00
0.69,16.61,16.00
0.70,16.67,16.00
0.71,16.73,16.00
0.72,16.79,16.00
0.72,16.85,16.00
0.73,16.91,16.00
0.74,16.97,16.00
0.74,17.03,16.00
0.75,17.09,16.00
0.76,17.15,16.00
0.77,17.21,16.00
0.77,17.26,16.00
0.78,17.32,16.00
0.79,17.38,16.00
0.79,17.44,16.00
0.80,17.50,16.00
0.81,17.55,16.00
0.82,17.61,16.00
0.82,17.67,16.00
0.83,17.72,16.00
0.83,17.78,16.00
0.84,17.84,16.00
0.85,17.89,16.00
0.85,17.95,16.00
0.86,18.00,16.00
0.87,18.06,16.00
0.88,18.11,16.00
0.89,18.17,16.00
0.89,18.22,16.00
0.90,18.28,16.00
0.91,18.33,16.00
0.91,18.39,16.00
0.92,18.44,16.00
0.93,18.50,16.00
0.93,18.55,16.00
0.94,18.61,16.00
0.95,18.66,16.00
0.96,18.71,16.00
0.96,18.77,16.00
0.97,18.82,16.00
0.97,18.87,16.00
0.98,18.93,16.00
0.99,18.98,16.00
0.99,19.03,16.00
1.00,19.08,16.00
1.01,19.14,16.00
1.02,19.19,16.00
1.03,19.24,16.00
1.03,19.29,16.00
1.04,19.34,16.00
1.04,19.40,16.00
1.05,19.45,16.00
1.06,19.50,16.00
1.06,19.55,16.00
1.07,19.60,16.00
1.08,19.65,16.00
1.08,19.70,16.00
1.09,19.75,16.00
1.10,19.80,16.00
1.11,19.85,16.00
1.11,19.91,16.00
1.12,19.96,16.00
1.13,20.01,16.00
1.14,20.06,16.00
1.25,20.11,16.00
1.28,20.16,16.00
1.29,20.20,16.00
1.30,20.25,16.00
1.30,20.30,16.00
1.31,20.35,16.00
1.32,20.40,16.00
1.32,20.45,16.00
1.33,20.50,16.00
1.34,20.55,16.00
1.34,20.60,16.00
1.35,20.65,16.00
1.36,20.69,16.00
1.37,20.74,16.00
1.37,20.79,16.00
1.38,20.84,16.00
1.39,20.89,16.00
1.39,20.93,16.00
1.40,20.98,16.00
1.41,21.03,16.00
1.42,21.08,16.00
1.42,21.13,16.00
1.43,21.17,16.00
1.44,21.22,16.00
1.47,21.27,16.00
1.48,21.31,16.00
1.48,21.36,16.00
1.49,21.41,16.00
1.50,21.45,16.00
1.50,21.50,16.00
1.51,21.55,16.00
1.52,21.59,16.00
1.52,21.64,16.00
1.53,21.69,16.00
1.54,21.73,16.00
1.54,21.78,16.00
1.55,21.82,16.00
1.56,21.87,16.00
1.56,21.92,16.00
1.57,21.96,16.00
1.58,22.01,16.00
1.59,22.05,16.00
1.59,22.10,16.00
1.60,22.14,16.00
1.61,22.19,16.00
1.61,22.23,16.00
1.63,22.28,16.00
1.63,22.32,16.00
1.64,22.37,16.00
1.65,22.41,16.00
1.66,22.46,16.00
1.66,22.50,16.00
1.67,22.55,16.00
1.68,22.59,16.00
1.68,22.64,16.00
1.69,22.68,16.00
1.70,22.72,16.00
1.70,22.77,16.00
1.71,22.81,16.00
1.72,22.86,16.00
1.72,22.90,16.00
1.74,22.94,16.00
1.75,22.99,16.00
1.76,23.03,16.00
1.77,23.07,16.00
1.78,23.12,16.00
1.78,23.16,16.00
1.79,23.20,16.00
1.80,23.25,16.00
1.81,23.29,16.00
1.81,23.33,16.00
1.82,23.37,16.00
1.83,23.42,16.00
1.83,23.46,16.00
1.84,23.50,16.00
1.85,23.55,16.00
1.85,23.59,16.00
1.86,23.63,16.00
1.87,23.67,16.00
1.87,23.71,16.00
1.88,23.76,16.00
1.89,23.80,16.00
1.90,23.84,16.00
1.91,23.88,16.00
1.91,23.92,16.00
1.92,23.97,16.00
1.92,24.01,16.00
1.93,24.05,16.00
1.94,24.09,16.00
1.95,24.13,16.00
1.95,24.17,16.00
1.97,24.22,16.00
1.97,24.26,16.00
1.98,24.30,16.00
1.99,24.34,16.00
1.99,24.38,16.00
2.00,24.42,16.00
2.01,24.46,16.00
2.01,24.50,16.00
2.02,24.54,16.00
2.03,24.59,16.00
2.03,24.63,16.00
2.04,24.67,16.00
2.05,24.71,16.00
2.05,24.75,16.00
2.06,24.79,16.00
2.07,24.83,16.00
2.07,24.87,16.00
2.08,24.91,16.00
2.09,24.95,16.00
2.09,24.99,16.00
2.10,25.03,16.00
2.11,25.07,16.00
2.11,25.11,16.00
2.12,25.15,16.00
2.13,25.19,16.00
2.13,25.23,16.00
2.14,25.27,16.00
2.15,25.31,16.00
2.15,25.35,16.00
2.16,25.39,16.00
2.17,25.43,16.00
2.18,25.46,16.00
2.18,25.50,16.00
2.19,25.54,16.00
2.20,25.58,16.00
2.20,25.62,16.00
2.21,25.66,16.00
2.22,25.70,16.00
2.23,25.74,16.00
2.24,25.78,16.00
2.24,25.82,16.00
2.25,25.85,16.00
2.25,25.89,16.00
2.26,25.93,16.00
2.27,25.97,16.00
2.27,26.01,16.00
2.28,26.05,16.00
2.29,26.09,16.00
2.30,26.12,16.00
2.31,26.16,16.00
2.31,26.20,16.00
2.32,26.24,16.00
2.32,26.28,16.00
2.33,26.32,16.00
2.34,26.35,16.00
2.34,26.39,16.00
2.35,26.43,16.00
2.36,26.47,16.00
2.37,26.50,16.00
2.37,26.54,16.00
2.38,26.58,16.00
2.39,26.62,16.00
2.39,26.66,16.00
2.40,26.69,16.00
2.41,26.73,16.00
2.41,26.77,16.00
2.42,26.81,16.00
2.43,26.84,16.00
2.43,26.88,16.00
2.45,26.92,16.00
2.46,26.95,16.00
2.47,26.99,16.00
2.48,27.03,16.00
2.49,27.07,16.00
2.50,27.10,16.00
2.50,27.14,16.00
2.51,27.18,16.00
2.52,27.21,16.00
2.52,27.25,16.00
2.53,27.29,16.00
2.54,27.32,16.00
2.54,27.36,16.00
2.55,27.40,16.00
2.56,27.43,16.00
2.56,27.47,16.00
2.57,27.51,16.00
2.58,27.54,16.00
2.59,27.58,16.00
2.59,27.61,16.00
2.60,27.65,16.00
2.60,27.69,16.00
2.61,27.72,16.00
2.63,27.76,16.00
2.65,27.79,16.00
2.66,27.83,16.00
2.67,27.87,16.00
2.68,27.90,16.00
2.68,27.94,16.00
2.69,27.97,16.00
2.70,28.01,16.00
2.70,28.05,16.00
2.71,28.08,16.00
2.72,28.12,16.00
