time_ms,cwnd,ssthresh
0.00,1.00,16.00
50.79,2.00,16.00
101.29,3.00,16.00
151.54,4.00,16.00
201.81,5.00,16.00
252.07,6.00,16.00
302.22,7.00,16.00
352.60,8.00,16.00
402.86,9.00,16.00
453.04,10.00,16.00
503.24,11.00,16.00
654.22,5.50,5.50
803.47,1.00,2.75
905.36,1.00,1.00
955.61,2.00,1.00
1056.16,2.50,1.00
1106.37,2.90,1.00
1156.62,3.24,1.00
1206.89,3.55,1.00
1257.14,3.83,1.00
1307.31,4.10,1.00
1357.57,4.34,1.00
1407.75,4.57,1.00
1458.02,4.79,1.00
1608.86,2.39,2.39
1709.30,2.81,2.39
2009.88,1.00,1.41
2060.35,2.00,1.41
2360.78,1.00,1.00
2411.44,2.00,1.00
2461.62,2.50,1.00
2511.84,2.90,1.00
2562.04,3.24,1.00
2612.30,3.55,1.00
2662.44,3.83,1.00
2712.64,4.10,1.00
2762.79,4.34,1.00
2812.99,4.57,1.00
2863.22,4.79,1.00
2913.49,5.00,1.00
2963.65,5.20,1.00
3114.48,2.60,2.60
3164.73,2.98,2.60
3465.14,1.00,1.49
3515.58,2.00,1.49
3565.75,2.50,1.49
3616.00,2.90,1.49
3916.44,1.00,1.45
3966.91,2.00,1.45
4017.26,2.50,1.45
4067.49,2.90,1.45
4117.81,3.24,1.45
4168.04,3.55,1.45
4218.37,3.83,1.45
4268.63,4.10,1.45
4318.82,4.34,1.45
4369.01,4.57,1.45
4669.35,1.00,2.28
4719.87,2.00,2.28
4770.12,3.00,2.28
4820.35,3.33,2.28
4870.60,3.63,2.28
4920.85,3.91,2.28
4970.97,4.16,2.28
5021.30,4.40,2.28
5071.59,4.63,2.28
5121.87,4.85,2.28
5172.15,5.05,2.28
5222.28,5.25,2.28
5272.65,5.44,2.28
5322.77,5.63,2.28
5373.06,5.80,2.28
5423.33,5.98,2.28
5473.54,6.14,2.28
5624.51,3.07,3.07
5773.72,1.00,1.54
5775.32,2.00,1.54
5926.26,1.00,1.00
6075.55,1.00,1.00
6126.05,2.00,1.00
6176.32,2.50,1.00
6226.57,2.90,1.00
6276.78,3.24,1.00
6327.07,3.55,1.00
6377.27,3.83,1.00
6427.52,4.10,1.00
6477.69,4.34,1.00
6527.97,4.57,1.00
6578.23,4.79,1.00
6628.48,5.00,1.00
6678.68,5.20,1.00
6728.93,5.39,1.00
6779.09,5.58,1.00
6829.34,5.75,1.00
6980.02,2.88,2.88
7080.48,3.22,2.88
7380.94,1.00,1.61
7431.45,2.00,1.61
7481.72,2.50,1.61
7531.86,2.90,1.61
7582.10,3.24,1.61
7632.33,3.55,1.61
7682.55,3.83,1.61
7732.84,4.10,1.61
7783.07,4.34,1.61
7933.94,2.17,2.17
7984.26,2.63,2.17
8284.72,1.00,1.32
8335.22,2.00,1.32
8385.53,2.50,1.32
8435.73,2.90,1.32
8485.97,3.24,1.32
8536.18,3.55,1.32
8586.43,3.83,1.32
8636.74,4.10,1.32
8686.96,4.34,1.32
8737.59,4.57,1.32
8787.63,4.79,1.32
8837.96,5.00,1.32
8888.22,5.20,1.32
8938.59,5.39,1.32
8988.82,5.58,1.32
9039.22,5.75,1.32
9190.16,2.88,2.88
9290.62,3.22,2.88
9591.09,1.00,1.61
9643.95,2.00,1.61
9694.15,2.50,1.61
9994.62,1.00,1.25
10045.07,2.00,1.25
10345.49,1.00,1.00
10645.95,1.00,1.00
10696.54,2.00,1.00
10746.81,2.50,1.00
10797.08,2.90,1.00
11097.56,1.00,1.45
11148.15,2.00,1.45
11198.42,2.50,1.45
11248.68,2.90,1.45
11298.94,3.24,1.45
11349.10,3.55,1.45
11649.47,1.00,1.78
11700.03,2.00,1.78
11750.23,2.50,1.78
11800.61,2.90,1.78
11850.88,3.24,1.78
11901.12,3.55,1.78
11951.27,3.83,1.78
12001.44,4.10,1.78
12051.78,4.34,1.78
12102.01,4.57,1.78
12152.24,4.79,1.78
12202.53,5.00,1.78
12252.84,5.20,1.78
12303.01,5.39,1.78
12353.27,5.58,1.78
12403.64,5.75,1.78
12554.62,2.88,2.88
12604.91,3.22,2.88
12905.37,1.00,1.61
12955.89,2.00,1.61
13006.27,2.50,1.61
13056.42,2.90,1.61
13106.65,3.24,1.61
13156.84,3.55,1.61
13207.12,3.83,1.61
13257.35,4.10,1.61
13307.64,4.34,1.61
13357.82,4.57,1.61
13408.05,4.79,1.61
13558.94,2.39,2.39
13609.30,2.81,2.39
13909.81,1.00,1.41
13960.36,2.00,1.41
14010.64,2.50,1.41
14060.84,2.90,1.41
14361.32,1.00,1.45
14411.77,2.00,1.45
14461.93,2.50,1.45
14512.20,2.90,1.45
14562.46,3.24,1.45
14613.09,3.55,1.45
14663.06,3.83,1.45
14713.30,4.10,1.45
14763.49,4.34,1.45
14813.72,4.57,1.45
14863.87,4.79,1.45
14914.10,5.00,1.45
14964.27,5.20,1.45
15014.57,5.39,1.45
15165.27,2.70,2.70
15265.64,3.07,2.70
15566.13,1.00,1.53
15616.58,2.00,1.53
15666.77,2.50,1.53
15717.07,2.90,1.53
15767.24,3.24,1.53
15817.48,3.55,1.53
15867.62,3.83,1.53
15917.90,4.10,1.53
15968.08,4.34,1.53
16018.33,4.57,1.53
16068.56,4.79,1.53
16118.83,5.00,1.53
16169.09,5.20,1.53
16319.90,2.60,2.60
16370.18,2.98,2.60
16670.65,1.00,1.49
16821.75,1.00,1.00
16872.15,2.00,1.00
17172.62,1.00,1.00
17223.12,2.00,1.00
17273.44,2.50,1.00
17323.64,2.90,1.00
17373.98,3.24,1.00
17424.13,3.55,1.00
17474.35,3.83,1.00
17524.66,4.10,1.00
17574.95,4.34,1.00
17625.27,4.57,1.00
17675.59,4.79,1.00
17725.88,5.00,1.00
17776.17,5.20,1.00
17826.42,5.39,1.00
17876.69,5.58,1.00
17927.00,5.75,1.00
17977.37,5.93,1.00
18027.64,6.10,1.00
18178.56,3.05,3.05
18279.10,3.38,3.05
18579.60,1.00,1.69
18630.15,2.00,1.69
18680.35,2.50,1.69
18730.66,2.90,1.69
18780.88,3.24,1.69
18831.07,3.55,1.69
18881.26,3.83,1.69
18931.52,4.10,1.69
18981.75,4.34,1.69
19031.97,4.57,1.69
19082.26,4.79,1.69
19132.50,5.00,1.69
19182.78,5.20,1.69
19233.07,5.39,1.69
19283.31,5.58,1.69
19333.50,5.75,1.69
19383.77,5.93,1.69
19534.62,2.96,2.96
19635.06,3.30,2.96
19935.54,1.00,1.65
19986.13,2.00,1.65
20036.44,2.50,1.65
20086.66,2.90,1.65
20136.99,3.24,1.65
20187.19,3.55,1.65
20237.47,3.83,1.65
20287.75,4.10,1.65
20337.97,4.34,1.65
20388.27,4.57,1.65
20438.54,4.79,1.65
20488.83,5.00,1.65
20539.09,5.20,1.65
20589.45,5.39,1.65
20639.68,5.58,1.65
20690.02,5.75,1.65
20740.31,5.93,1.65
20790.63,6.10,1.65
20840.93,6.26,1.65
20891.19,6.42,1.65
20941.38,6.58,1.65
20991.82,6.73,1.65
21042.03,6.88,1.65
21092.32,7.02,1.65
21142.57,7.17,1.65
21192.85,7.30,1.65
21243.08,7.44,1.65
21293.46,7.58,1.65
21343.61,7.71,1.65
21393.87,7.84,1.65
21444.14,7.97,1.65
21494.38,8.09,1.65
21544.56,8.21,1.65
21594.82,8.34,1.65
21645.10,8.46,1.65
21695.35,8.57,1.65
21761.08,8.69,1.65
21811.11,8.81,1.65
21861.47,8.92,1.65
21911.69,9.03,1.65
21961.87,9.14,1.65
22012.28,9.25,1.65
22163.11,4.63,4.63
22312.48,1.00,2.31
22414.54,1.00,1.00
22464.68,2.00,1.00
22615.66,1.00,1.00
22764.87,1.00,1.00
22867.07,1.00,1.00
22967.67,2.00,1.00
23068.20,2.50,1.00
23118.53,2.90,1.00
23269.49,1.45,1.45
23418.76,1.00,1.00
23420.14,2.00,1.00
23520.91,2.50,1.00
23571.24,2.90,1.00
23621.60,3.24,1.00
23922.03,1.00,1.62
23972.58,2.00,1.62
24022.83,2.50,1.62
24073.07,2.90,1.62
24123.44,3.24,1.62
24173.60,3.55,1.62
24223.94,3.83,1.62
24274.17,4.10,1.62
24324.42,4.34,1.62
24374.61,4.57,1.62
24424.83,4.79,1.62
24475.11,5.00,1.62
24525.32,5.20,1.62
24676.16,2.60,2.60
24726.50,2.98,2.60
25026.95,1.00,1.49
25077.47,2.00,1.49
25127.73,2.50,1.49
25177.97,2.90,1.49
25228.30,3.24,1.49
25278.51,3.55,1.49
25328.72,3.83,1.49
25378.96,4.10,1.49
25429.31,4.34,1.49
25479.60,4.57,1.49
25529.78,4.79,1.49
25580.00,5.00,1.49
25630.24,5.20,1.49
25680.46,5.39,1.49
25831.19,2.70,2.70
25931.63,3.07,2.70
26232.11,1.00,1.53
26282.54,2.00,1.53
26332.79,2.50,1.53
26383.03,2.90,1.53
26433.29,3.24,1.53
26483.59,3.55,1.53
26533.83,3.83,1.53
26584.05,4.10,1.53
26634.30,4.34,1.53
26785.10,2.17,2.17
26835.49,2.63,2.17
27135.98,1.00,1.32
27186.52,2.00,1.32
27236.77,2.50,1.32
27287.03,2.90,1.32
27337.30,3.24,1.32
27637.66,1.00,1.62
27688.12,2.00,1.62
27738.36,2.50,1.62
27788.62,2.90,1.62
27838.86,3.24,1.62
27889.13,3.55,1.62
27939.38,3.83,1.62
27989.87,4.10,1.62
28040.06,4.34,1.62
28090.27,4.57,1.62
28140.54,4.79,1.62
28190.82,5.00,1.62
28241.07,5.20,1.62
28291.36,5.39,1.62
28341.60,5.58,1.62
28391.96,5.75,1.62
28442.19,5.93,1.62
28492.45,6.10,1.62
28542.78,6.26,1.62
28593.10,6.42,1.62
28643.39,6.58,1.62
28693.64,6.73,1.62
28743.92,6.88,1.62
28794.19,7.02,1.62
28844.39,7.17,1.62
28894.66,7.30,1.62
28944.89,7.44,1.62
28995.06,7.58,1.62
29045.33,7.71,1.62
29095.65,7.84,1.62
29145.84,7.97,1.62
29196.15,8.09,1.62
29246.37,8.21,1.62
29397.15,4.11,4.11
29546.59,1.00,2.05
29598.06,2.00,2.05
29698.52,3.00,2.05
29748.75,3.33,2.05
29799.02,3.63,2.05
29849.27,3.91,2.05
29899.60,4.16,2.05
29949.81,4.40,2.05
30000.02,4.63,2.05
30050.31,4.85,2.05
30100.61,5.05,2.05
30251.38,2.53,2.53
30351.76,2.92,2.53
30652.21,1.00,1.46
30702.68,2.00,1.46
31003.09,1.00,1.00
31053.57,2.00,1.00
31354.00,1.00,1.00
31404.43,2.00,1.00
31454.66,2.50,1.00
31504.83,2.90,1.00
31555.05,3.24,1.00
31605.27,3.55,1.00
31655.56,3.83,1.00
31705.81,4.10,1.00
31756.15,4.34,1.00
31806.37,4.57,1.00
32106.76,1.00,2.28
32157.42,2.00,2.28
32207.73,3.00,2.28
32258.06,3.33,2.28
32558.49,1.00,1.67
32609.00,2.00,1.67
32659.25,2.50,1.67
32709.55,2.90,1.67
32759.81,3.24,1.67
32809.99,3.55,1.67
32860.28,3.83,1.67
32910.63,4.10,1.67
32960.89,4.34,1.67
33011.21,4.57,1.67
33061.46,4.79,1.67
33111.77,5.00,1.67
33162.13,5.20,1.67
33212.48,5.39,1.67
33262.66,5.58,1.67
33312.83,5.75,1.67
33363.06,5.93,1.67
33413.37,6.10,1.67
33463.54,6.26,1.67
33513.85,6.42,1.67
33564.05,6.58,1.67
33614.34,6.73,1.67
33664.50,6.88,1.67
33714.75,7.02,1.67
33764.96,7.17,1.67
33815.31,7.30,1.67
33865.52,7.44,1.67
33915.88,7.58,1.67
33966.06,7.71,1.67
34016.44,7.84,1.67
34167.95,3.92,3.92
34316.63,1.00,1.96
34368.87,2.00,1.96
34469.46,2.50,1.96
34519.74,2.90,1.96
34569.92,3.24,1.96
34620.25,3.55,1.96
34670.43,3.83,1.96
34720.69,4.10,1.96
34770.94,4.34,1.96
34821.17,4.57,1.96
34871.45,4.79,1.96
35022.34,2.39,2.39
35072.75,2.81,2.39
35373.17,1.00,1.41
35423.83,2.00,1.41
35474.10,2.50,1.41
35583.87,2.90,1.41
35634.15,3.24,1.41
35684.44,3.55,1.41
35984.84,1.00,1.78
36035.29,2.00,1.78
36085.52,2.50,1.78
36135.79,2.90,1.78
36186.09,3.24,1.78
36236.32,3.55,1.78
36286.56,3.83,1.78
36336.72,4.10,1.78
36387.06,4.34,1.78
36437.28,4.57,1.78
36487.52,4.79,1.78
36537.79,5.00,1.78
36588.01,5.20,1.78
36638.24,5.39,1.78
36688.49,5.58,1.78
36738.78,5.75,1.78
36788.97,5.93,1.78
36839.21,6.10,1.78
36889.47,6.26,1.78
36939.73,6.42,1.78
36989.99,6.58,1.78
37040.25,6.73,1.78
37090.49,6.88,1.78
37140.76,7.02,1.78
37190.95,7.17,1.78
37345.49,3.58,3.58
37491.16,1.00,1.79
37541.64,2.00,1.79
37591.88,2.50,1.79
37642.07,2.90,1.79
37692.29,3.24,1.79
37742.77,3.55,1.79
37792.91,3.83,1.79
37843.16,4.10,1.79
37893.71,4.34,1.79
37953.75,4.57,1.79
38003.60,4.79,1.79
38053.95,5.00,1.79
38104.34,5.20,1.79
38154.71,5.39,1.79
38205.00,5.58,1.79
38255.27,5.75,1.79
38305.48,5.93,1.79
38355.62,6.10,1.79
38405.87,6.26,1.79
38556.65,3.13,3.13
38607.01,3.45,3.13
38907.60,1.00,1.73
38958.34,2.00,1.73
39008.50,2.50,1.73
39058.75,2.90,1.73
39109.03,3.24,1.73
39159.34,3.55,1.73
39209.57,3.83,1.73
39259.83,4.10,1.73
39310.05,4.34,1.73
39360.27,4.57,1.73
39410.45,4.79,1.73
39460.64,5.00,1.73
39510.86,5.20,1.73
39561.14,5.39,1.73
39611.36,5.58,1.73
39661.51,5.75,1.73
39711.83,5.93,1.73
39762.04,6.10,1.73
39812.24,6.26,1.73
39862.48,6.42,1.73
39912.74,6.58,1.73
39963.01,6.73,1.73
40013.27,6.88,1.73
40063.56,7.02,1.73
40113.82,7.17,1.73
40164.00,7.30,1.73
40214.29,7.44,1.73
40264.51,7.58,1.73
40415.39,3.79,3.79
40564.70,1.00,1.89
40616.84,2.00,1.89
40717.25,2.50,1.89
40867.86,1.25,1.25
40968.27,2.05,1.25
41268.73,1.00,1.02
41419.78,1.00,1.00
41470.05,2.00,1.00
41770.55,1.00,1.00
41820.98,2.00,1.00
41871.24,2.50,1.00
41921.50,2.90,1.00
41971.74,3.24,1.00
42021.98,3.55,1.00
42072.27,3.83,1.00
42122.54,4.10,1.00
42172.76,4.34,1.00
42223.00,4.57,1.00
42273.24,4.79,1.00
42323.37,5.00,1.00
42373.59,5.20,1.00
42423.84,5.39,1.00
42474.10,5.58,1.00
42624.80,2.79,2.79
42774.35,1.00,1.39
42824.75,2.00,1.39
42874.97,2.50,1.39
42925.20,2.90,1.39
42975.44,3.24,1.39
43025.65,3.55,1.39
43075.85,3.83,1.39
43126.16,4.10,1.39
43176.39,4.34,1.39
43327.10,2.17,2.17
43377.43,2.63,2.17
43677.88,1.00,1.32
43728.39,2.00,1.32
44028.85,1.00,1.00
44079.39,2.00,1.00
44379.83,1.00,1.00
44430.37,2.00,1.00
44480.55,2.50,1.00
44530.84,2.90,1.00
44581.01,3.24,1.00
44631.26,3.55,1.00
44681.48,3.83,1.00
44731.76,4.10,1.00
44782.03,4.34,1.00
44832.23,4.57,1.00
44882.50,4.79,1.00
45182.85,1.00,2.39
45233.36,2.00,2.39
45283.68,3.00,2.39
45333.90,3.33,2.39
45384.13,3.63,2.39
45434.34,3.91,2.39
45484.54,4.16,2.39
45534.78,4.40,2.39
45585.13,4.63,2.39
45635.34,4.85,2.39
45685.51,5.05,2.39
45735.81,5.25,2.39
45886.57,2.63,2.63
45986.96,3.01,2.63
46287.51,1.00,1.50
46337.94,2.00,1.50
46388.23,2.50,1.50
46438.46,2.90,1.50
46488.65,3.24,1.50
46538.88,3.55,1.50
46589.08,3.83,1.50
46639.36,4.10,1.50
46689.57,4.34,1.50
46739.80,4.57,1.50
46789.94,4.79,1.50
46840.20,5.00,1.50
46890.45,5.20,1.50
46940.65,5.39,1.50
46990.87,5.58,1.50
47041.08,5.75,1.50
47091.34,5.93,1.50
47141.53,6.10,1.50
47191.71,6.26,1.50
47241.97,6.42,1.50
47292.16,6.58,1.50
47442.96,3.29,3.29
47543.37,3.59,3.29
47843.82,1.00,1.80
47894.33,2.00,1.80
47944.54,2.50,1.80
47995.01,2.90,1.80
48295.51,1.00,1.45
