time_ms,cwnd,ssthresh
0.00,1.00,16.00
100.71,2.00,16.00
201.14,3.00,16.00
301.40,4.00,16.00
401.70,5.00,16.00
502.02,6.00,16.00
802.35,1.00,3.00
902.90,2.00,3.00
1003.11,3.00,3.00
1103.28,3.33,3.00
1403.67,1.00,1.67
1704.00,1.00,1.00
1804.48,2.00,1.00
1904.69,2.50,1.00
2004.93,2.90,1.00
2305.29,1.00,1.45
2405.69,2.00,1.45
2505.99,2.50,1.45
2606.16,2.90,1.45
2706.44,3.24,1.45
2806.80,3.55,1.45
2912.86,3.83,1.45
3013.09,4.10,1.45
3313.32,1.00,2.05
3414.15,2.00,2.05
3514.33,3.00,2.05
3614.53,3.33,2.05
3914.80,1.00,1.67
4015.20,2.00,1.67
4115.42,2.50,1.67
4215.68,2.90,1.67
4315.99,3.24,1.67
4416.19,3.55,1.67
4516.53,3.83,1.67
4616.68,4.10,1.67
4716.94,4.34,1.67
5017.30,1.00,2.17
5117.73,2.00,2.17
5218.04,3.00,2.17
5518.45,1.00,1.50
5618.97,2.00,1.50
5719.20,2.50,1.50
5819.45,2.90,1.50
6119.83,1.00,1.45
6220.32,2.00,1.45
6320.59,2.50,1.45
6420.93,2.90,1.45
6521.17,3.24,1.45
6621.45,3.55,1.45
6721.72,3.83,1.45
6822.08,4.10,1.45
6922.30,4.34,1.45
7022.60,4.57,1.45
7322.90,1.00,2.28
7423.42,2.00,2.28
7523.78,3.00,2.28
7624.04,3.33,2.28
7724.40,3.63,2.28
7824.60,3.91,2.28
7924.98,4.16,2.28
8225.30,1.00,2.08
8325.89,2.00,2.08
8426.15,3.00,2.08
8526.46,3.33,2.08
8826.83,1.00,1.67
9127.32,1.00,1.00
9227.91,2.00,1.00
9328.21,2.50,1.00
9628.57,1.00,1.25
9729.00,2.00,1.25
10029.38,1.00,1.00
10329.84,1.00,1.00
10430.43,2.00,1.00
10730.85,1.00,1.00
10831.43,2.00,1.00
10931.76,2.50,1.00
11232.20,1.00,1.25
11383.60,2.00,1.25
11483.98,2.50,1.25
11584.20,2.90,1.25
11684.49,3.24,1.25
11784.72,3.55,1.25
11885.47,3.83,1.25
12185.78,1.00,1.92
12286.26,2.00,1.92
12586.71,1.00,1.00
12687.25,2.00,1.00
12787.45,2.50,1.00
12887.88,2.90,1.00
12988.09,3.24,1.00
13088.37,3.55,1.00
13188.72,3.83,1.00
13288.98,4.10,1.00
13389.26,4.34,1.00
13489.51,4.57,1.00
13589.78,4.79,1.00
13690.11,5.00,1.00
13790.37,5.20,1.00
14090.66,1.00,2.60
14191.07,2.00,2.60
14291.34,3.00,2.60
14391.66,3.33,2.60
14491.91,3.63,2.60
14592.08,3.91,2.60
14692.34,4.16,2.60
14992.62,1.00,2.08
15093.40,2.00,2.08
15193.72,3.00,2.08
15293.91,3.33,2.08
15594.27,1.00,1.67
15694.74,2.00,1.67
15794.94,2.50,1.67
15895.17,2.90,1.67
15995.46,3.24,1.67
16095.77,3.55,1.67
